year,plot,stake,species,abundance
1995,8,57,Hapl grac,10
1995,8,71,Hapl grac,3
1995,8,71,Hapl grac,3
1995,8,73,Hapl grac,3
1995,8,73,Hapl grac,3
1995,8,75,Hapl grac,4
1995,8,75,Hapl grac,4
1995,8,77,Hapl grac,1
1995,8,77,Hapl grac,1
1995,9,11,Hapl grac,11
1995,9,11,Hapl grac,11
1995,9,13,Hapl grac,2
1995,9,13,Hapl grac,2
1995,9,15,Hapl grac,15
1995,9,15,Hapl grac,15
1995,9,17,Hapl grac,10
1995,9,17,Hapl grac,10
1995,9,31,Hapl grac,5
1995,9,31,Hapl grac,5
1995,9,33,Hapl grac,35
1995,9,33,Hapl grac,35
1995,9,35,Hapl grac,5
1995,9,35,Hapl grac,5
1995,9,37,Hapl grac,9
1995,9,37,Hapl grac,9
1995,9,51,Hapl grac,8
1995,9,51,Hapl grac,8
1995,9,53,Hapl grac,17
1995,9,53,Hapl grac,17
1995,9,55,Hapl grac,5
1995,9,55,Hapl grac,5
1995,9,57,Hapl grac,6
1995,9,57,Hapl grac,6
1995,9,77,Hapl grac,2
1995,9,77,Hapl grac,2
1995,10,11,Hapl grac,1
1995,10,11,Hapl grac,1
1995,10,13,Hapl grac,1
1995,10,13,Hapl grac,1
1995,10,17,Hapl grac,3
1995,10,17,Hapl grac,3
1995,10,31,Hapl grac,3
1995,10,31,Hapl grac,3
1995,10,35,Hapl grac,1
1995,10,35,Hapl grac,1
1995,10,37,Hapl grac,5
1995,10,37,Hapl grac,5
1995,10,55,Hapl grac,1
1995,10,55,Hapl grac,1
1995,10,75,Hapl grac,1
1995,10,75,Hapl grac,1
1995,11,11,Hapl grac,6
1995,11,11,Hapl grac,6
1995,11,13,Hapl grac,14
1995,11,13,Hapl grac,14
1995,11,15,Hapl grac,22
1995,11,15,Hapl grac,22
1995,11,17,Hapl grac,3
1995,11,17,Hapl grac,3
1995,11,31,Hapl grac,12
1995,11,31,Hapl grac,12
1995,11,33,Hapl grac,9
1995,11,33,Hapl grac,9
1995,11,53,Hapl grac,19
1995,11,53,Hapl grac,19
1995,11,57,Hapl grac,15
1995,11,57,Hapl grac,15
1995,11,71,Hapl grac,10
1995,11,71,Hapl grac,10
1995,11,73,Hapl grac,5
1995,11,73,Hapl grac,5
1995,12,13,Hapl grac,2
1995,12,13,Hapl grac,2
1995,12,71,Hapl grac,2
1995,12,71,Hapl grac,2
1995,12,77,Hapl grac,2
1995,12,77,Hapl grac,2
1995,13,11,Hapl grac,1
1995,13,11,Hapl grac,1
1995,13,15,Hapl grac,1
1995,13,15,Hapl grac,1
1995,13,31,Hapl grac,7
1995,13,31,Hapl grac,7
1995,13,33,Hapl grac,3
1995,13,33,Hapl grac,3
1995,13,37,Hapl grac,7
1995,13,37,Hapl grac,7
1995,13,55,Hapl grac,8
1995,13,55,Hapl grac,8
1995,13,57,Hapl grac,1
1995,13,57,Hapl grac,1
1995,13,75,Hapl grac,2
1995,13,75,Hapl grac,2
1995,14,11,Hapl grac,3
1995,14,11,Hapl grac,3
1995,14,15,Hapl grac,7
1995,14,15,Hapl grac,7
1995,14,17,Hapl grac,4
1995,14,17,Hapl grac,4
1995,14,31,Hapl grac,1
1995,14,31,Hapl grac,1
1995,14,51,Hapl grac,2
1995,14,51,Hapl grac,2
1995,14,57,Hapl grac,7
1995,14,57,Hapl grac,7
